date,value,min,max,unit
2021-05-01,10762,0,0,#
2021-05-02,10762,0,0,#
2021-05-03,10762,0,0,#
2021-05-04,10762,0,0,#
2021-05-05,10762,0,0,#
2021-05-06,10762,0,0,#
2021-05-07,10762,0,0,#
2021-05-08,10762,0,0,#
2021-05-09,10762,0,0,#
2021-05-10,10762,0,0,#
